Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,765903278,9826.150648070561,438312,5.623320681044406,0,6927378,88.87474669370687,3178,0.040772128356876214,0,
United States of America,Americas,103343569,31221.372,77165,23.313,0,1125209,339.94,1146,0.346,0
China,Western Pacific,99252425,6745.96,3122,0.212,0,121015,8.225,50,0.003,0
India,South-East Asia,44972800,3258.888,16084,1.166,0,531707,38.529,123,0.009,0
France,Europe,38961098,59903.878,29544,45.425,0,163120,250.802,166,0.255,0
Germany,Europe,38413078,46188.045,5904,7.099,0,173473,208.585,109,0.131,0
Brazil,Americas,37487971,17636.467,38553,18.138,0,701833,330.182,339,0.159,0
Japan,Western Pacific,33793429,26719.145,50446,39.886,0,74654,59.026,85,0.067,0
Republic of Korea,Western Pacific,31285910,61022.835,73312,142.994,0,34534,67.358,29,0.057,0
Italy,Europe,25809208,43273.917,8737,14.649,0,189904,318.409,79,0.132,0
The United Kingdom,Europe,24592953,36226.838,2500,3.683,0,225081,331.557,0,0,0
Russian Federation,Europe,22884493,15681.35,22424,15.366,0,398578,273.121,179,0.123,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13845825,29252.188,11847,25.029,0,120964,255.562,65,0.137,0
Viet Nam,Western Pacific,11575883,11892.39,11590,11.907,0,43196,44.377,1,0.001,0
Australia,Western Pacific,11270821,44199.499,0,0,0,20393,79.973,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7609922,9060.191,988,1.176,0,146165,174.021,47,0.056,0
Mexico,Americas,7595574,5891.113,6471,5.019,0,333960,259.019,30,0.023,0
Indonesia,South-East Asia,6791121,2482.828,11490,4.201,0,161501,59.045,149,0.054,0
Poland,Europe,6514997,17163.637,805,2.121,0,119568,315,11,0.029,0
Colombia,Americas,6365262,12509.631,626,1.23,0,142722,280.491,9,0.018,0
